mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16741523742675782,0.020739191599680074,0.010454177856445312,0.0024132635677560584,0.01,3,1,2,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.47699105277055487,0.7052514873033175,0.706077859847215,0.8544799662626524,0.7038884396018623,0.6893377611571203,0.12092003332528424,438
0.15050559043884276,0.010153416361358098,0.009711027145385742,0.001177770907941416,0.01,3,1,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.44196421504970496,0.7281625180474357,0.7090430427681548,0.859848714202222,0.6975365661197614,0.6873110112374556,0.1358013240875801,440
0.29671244621276854,0.0180639847688411,0.017353343963623046,0.009893854986544508,0.01,3,1,2,200,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6497007437543236,0.768762189674129,0.8466732338566906,0.9369650131271118,0.8525892929044734,0.8109380946633455,0.09661355697352288,55
0.28579888343811033,0.04893234605122769,0.010322475433349609,0.0015708525222668155,0.01,3,1,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6459197205177104,0.783179041125496,0.841258290697843,0.931956257826065,0.8541069758722144,0.8112840572078657,0.0953197700545373,51
0.48745274543762207,0.04902494105628549,0.011927461624145508,0.00370312377652585,0.01,3,1,2,300,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6724185133089078,0.7553192803473683,0.8772865462293443,0.9421812842433057,0.8761091572830871,0.8246629562824028,0.09717348098275153,10
0.41275935173034667,0.030363750103490947,0.014386510848999024,0.005423851770496179,0.01,3,1,2,300,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.683782682050544,0.7897954607223998,0.8686474442267205,0.9415473088040532,0.8883390265045303,0.8344223844616497,0.08970840616731943,1
0.15073423385620116,0.010787795699212023,0.009011936187744141,0.0006361593057958917,0.01,3,1,5,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.47633873987080033,0.7043562333805908,0.7039564302146026,0.855692982938895,0.7048944801167762,0.689047773304333,0.1214277512893563,439
0.14595317840576172,0.004218833538764718,0.010160589218139648,0.0006309051631131097,0.01,3,1,5,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.44196421504970496,0.7280340612533706,0.7007476184790692,0.8608411706196291,0.6971913560815342,0.6857556842966617,0.13581767325082136,445
0.3335280418395996,0.04261914574644731,0.009414291381835938,0.0010696457600526644,0.01,3,1,5,200,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6477463690514824,0.7701996675636205,0.8458848210803128,0.9394491004326823,0.854782181946152,0.8116124280148499,0.09792603474476405,49
0.280755615234375,0.021121489074859,0.009419059753417969,0.00154330196793834,0.01,3,1,5,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6459197205177104,0.7779620867729893,0.8328862086416952,0.9330987165335767,0.8530480577554049,0.8085829580442754,0.09536134834839959,72
0.41743693351745603,0.026129607749849338,0.009385776519775391,0.0007853691461408551,0.01,3,1,5,300,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6744534049958024,0.7579130567839614,0.8735538460495783,0.9452589623640092,0.8798774075291687,0.826211335544504,0.09694206764931287,6
0.37418012619018554,0.014585063277438023,0.009988880157470703,0.0009859637756745993,0.01,3,1,5,300,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.6837825876337014,0.7727119597112067,0.8594412410294527,0.941413820493554,0.8841228123751176,0.8282944842486065,0.09039470361592185,5
0.16001834869384765,0.0055166567891431345,0.010095643997192382,0.0023859711418783573,0.01,3,1,10,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.46394850653218855,0.6980964639660916,0.6996402841992765,0.8617793430838723,0.7116436003934965,0.6870216396349852,0.1274284116696317,441
